2026-08-30T06:08:29Z gare-du-nord ok | salidas=179 anden_real=5 | cuota_restante=896
2026-08-30T06:09:29Z saint-lazare ok | salidas=192 anden_real=3 | cuota_restante=895
2026-08-30T06:10:29Z saint-lazare ok | salidas=191 anden_real=3 | cuota_restante=894
2026-08-30T06:10:30Z gare-du-nord ok | salidas=181 anden_real=5 | cuota_restante=893
2026-08-30T06:11:30Z saint-lazare ok | salidas=191 anden_real=4 | cuota_restante=892
2026-08-30T06:12:30Z saint-lazare ok | salidas=192 anden_real=6 | cuota_restante=891
2026-08-30T06:12:30Z gare-du-nord ok | salidas=181 anden_real=4 | cuota_restante=890
2026-08-30T06:13:31Z saint-lazare ok | salidas=189 anden_real=4 | cuota_restante=889
2026-08-30T06:14:31Z saint-lazare ok | salidas=188 anden_real=4 | cuota_restante=888
2026-08-30T06:14:32Z gare-du-nord ok | salidas=179 anden_real=4 | cuota_restante=887
2026-08-30T06:15:32Z saint-lazare ok | salidas=188 anden_real=6 | cuota_restante=886
2026-08-30T06:16:32Z saint-lazare ok | salidas=189 anden_real=6 | cuota_restante=885
2026-08-30T06:16:32Z gare-du-nord ok | salidas=180 anden_real=7 | cuota_restante=884
2026-08-30T06:17:33Z saint-lazare ok | salidas=190 anden_real=5 | cuota_restante=883
2026-08-30T06:18:33Z saint-lazare ok | salidas=190 anden_real=5 | cuota_restante=882
2026-08-30T06:18:34Z gare-du-nord ok | salidas=177 anden_real=8 | cuota_restante=881
2026-08-30T06:19:35Z saint-lazare ok | salidas=187 anden_real=4 | cuota_restante=880
2026-08-30T06:20:35Z saint-lazare ok | salidas=194 anden_real=4 | cuota_restante=879
2026-08-30T06:20:36Z gare-du-nord ok | salidas=178 anden_real=8 | cuota_restante=878
2026-08-30T06:21:37Z saint-lazare ok | salidas=194 anden_real=3 | cuota_restante=877
2026-08-30T06:22:37Z saint-lazare ok | salidas=192 anden_real=3 | cuota_restante=876
2026-08-30T06:22:37Z gare-du-nord ok | salidas=177 anden_real=8 | cuota_restante=875
2026-08-30T06:23:37Z saint-lazare ok | salidas=192 anden_real=2 | cuota_restante=874
2026-08-30T06:24:38Z saint-lazare ok | salidas=192 anden_real=2 | cuota_restante=873
2026-08-30T06:24:39Z gare-du-nord ok | salidas=175 anden_real=8 | cuota_restante=872
2026-08-30T06:25:39Z saint-lazare ok | salidas=192 anden_real=2 | cuota_restante=871
2026-08-30T06:26:39Z saint-lazare ok | salidas=193 anden_real=2 | cuota_restante=870
2026-08-30T06:26:39Z gare-du-nord ok | salidas=175 anden_real=7 | cuota_restante=869
2026-08-30T06:27:40Z saint-lazare ok | salidas=195 anden_real=3 | cuota_restante=868
2026-08-30T06:28:40Z saint-lazare ok | salidas=191 anden_real=3 | cuota_restante=867
2026-08-30T06:28:40Z gare-du-nord ok | salidas=177 anden_real=6 | cuota_restante=866
2026-08-30T06:29:41Z saint-lazare ok | salidas=190 anden_real=1 | cuota_restante=865
2026-08-30T06:30:41Z saint-lazare ok | salidas=192 anden_real=1 | cuota_restante=864
2026-08-30T06:30:41Z gare-du-nord ok | salidas=174 anden_real=6 | cuota_restante=863
2026-08-30T06:31:43Z saint-lazare ok | salidas=193 anden_real=2 | cuota_restante=862
2026-08-30T06:32:43Z saint-lazare ok | salidas=196 anden_real=3 | cuota_restante=861
2026-08-30T06:32:43Z gare-du-nord ok | salidas=176 anden_real=7 | cuota_restante=860
2026-08-30T06:33:44Z saint-lazare ok | salidas=193 anden_real=3 | cuota_restante=859
2026-08-30T06:34:44Z saint-lazare ok | salidas=197 anden_real=3 | cuota_restante=858
2026-08-30T06:34:44Z gare-du-nord ok | salidas=174 anden_real=7 | cuota_restante=857
2026-08-30T06:35:44Z saint-lazare ok | salidas=196 anden_real=2 | cuota_restante=856
2026-08-30T06:36:44Z saint-lazare ok | salidas=195 anden_real=2 | cuota_restante=855
2026-08-30T06:36:45Z gare-du-nord ok | salidas=172 anden_real=5 | cuota_restante=854
2026-08-30T06:37:46Z saint-lazare ok | salidas=196 anden_real=1 | cuota_restante=853
2026-08-30T06:38:46Z saint-lazare ok | salidas=198 anden_real=1 | cuota_restante=852
2026-08-30T06:38:46Z gare-du-nord ok | salidas=171 anden_real=4 | cuota_restante=851
2026-08-30T06:39:47Z saint-lazare ok | salidas=197 anden_real=2 | cuota_restante=850
2026-08-30T06:40:47Z saint-lazare ok | salidas=197 anden_real=2 | cuota_restante=849
2026-08-30T06:40:47Z gare-du-nord ok | salidas=176 anden_real=5 | cuota_restante=848
2026-08-30T06:41:48Z saint-lazare ok | salidas=198 anden_real=4 | cuota_restante=847
2026-08-30T06:42:48Z saint-lazare ok | salidas=197 anden_real=4 | cuota_restante=846
2026-08-30T06:42:48Z gare-du-nord ok | salidas=176 anden_real=4 | cuota_restante=845
2026-08-30T06:43:48Z saint-lazare ok | salidas=198 anden_real=6 | cuota_restante=844
2026-08-30T06:44:48Z saint-lazare ok | salidas=198 anden_real=6 | cuota_restante=843
2026-08-30T06:44:49Z gare-du-nord ok | salidas=178 anden_real=5 | cuota_restante=842
2026-08-30T06:45:50Z saint-lazare ok | salidas=197 anden_real=5 | cuota_restante=841
2026-08-30T06:46:50Z saint-lazare ok | salidas=199 anden_real=5 | cuota_restante=840
2026-08-30T06:46:51Z gare-du-nord ok | salidas=175 anden_real=6 | cuota_restante=839
2026-08-30T06:47:51Z saint-lazare ok | salidas=198 anden_real=4 | cuota_restante=838
2026-08-30T06:48:51Z saint-lazare ok | salidas=200 anden_real=3 | cuota_restante=837
2026-08-30T06:48:52Z gare-du-nord ok | salidas=180 anden_real=7 | cuota_restante=836
2026-08-30T06:49:53Z saint-lazare ok | salidas=200 anden_real=3 | cuota_restante=835
2026-08-30T06:50:53Z saint-lazare ok | salidas=203 anden_real=3 | cuota_restante=834
2026-08-30T06:50:53Z gare-du-nord ok | salidas=178 anden_real=7 | cuota_restante=833
2026-08-30T06:51:55Z saint-lazare ok | salidas=202 anden_real=2 | cuota_restante=832
2026-08-30T06:52:55Z saint-lazare ok | salidas=204 anden_real=2 | cuota_restante=831
2026-08-30T06:52:55Z gare-du-nord ok | salidas=179 anden_real=7 | cuota_restante=830
2026-08-30T06:53:55Z saint-lazare ok | salidas=203 anden_real=1 | cuota_restante=829
2026-08-30T06:54:56Z saint-lazare ok | salidas=202 anden_real=1 | cuota_restante=828
2026-08-30T06:54:56Z gare-du-nord ok | salidas=179 anden_real=7 | cuota_restante=827
2026-08-30T06:55:56Z saint-lazare ok | salidas=201 anden_real=1 | cuota_restante=826
2026-08-30T06:56:57Z saint-lazare ok | salidas=198 anden_real=2 | cuota_restante=825
2026-08-30T06:56:57Z gare-du-nord ok | salidas=181 anden_real=8 | cuota_restante=824
2026-08-30T06:57:58Z saint-lazare ok | salidas=197 anden_real=2 | cuota_restante=823
2026-08-30T06:58:58Z saint-lazare ok | salidas=198 anden_real=2 | cuota_restante=822
2026-08-30T06:58:58Z gare-du-nord ok | salidas=177 anden_real=6 | cuota_restante=821
2026-08-30T06:59:59Z saint-lazare ok | salidas=198 anden_real=5 | cuota_restante=820
2026-08-30T07:00:04Z sondeo terminado | 180 llamadas
